Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Sudan,Government/territory,Africa (excl MENA),2004-05-26,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,1
Sudan,Government/territory,Africa (excl MENA),1997-04-21,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
Sudan,Government/territory,Africa (excl MENA),2004-05-26,Multiparty signed/agreed,Intra,SubPar,3,1,1,1,1
Sudan,Inter-group,Africa (excl MENA),2010-01-25,Multiparty signed/agreed,IntraLocal,SubComp,1,0,1,0,0
Sudan,Government/territory,Africa (excl MENA),2011-01-17,Multiparty signed/agreed,Intra,Imp,1,0,1,0,1
Sudan,Government/territory,Africa (excl MENA),2004-12-31,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Sudan,Government/territory,Africa (excl MENA),1996-05-01,Multiparty signed/agreed,Intra,Pre,1,1,1,1,0
Sudan,Government/territory,Africa (excl MENA),2013-04-06,Multiparty signed/agreed,Intra,Imp,1,1,0,1,0
Sudan,Government/territory,Africa (excl MENA),2013-02-10,Multiparty signed/agreed,Intra,Cea,2,1,1,0,1
Sudan,Government/territory,Africa (excl MENA),2005-01-09,Multiparty signed/agreed,Intra,SubComp,3,0,1,1,1
Sudan,Government/territory,Africa (excl MENA),2003-02-04,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Sudan,Government/territory,Africa (excl MENA),2011-06-20,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Sudan,Government/territory,Africa (excl MENA),2010-03-18,Multiparty signed/agreed,Intra,Cea,1,1,1,1,0
Sudan,Territory,Africa (excl MENA),2011-07-30,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Sudan,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Sudan,Government/territory,Africa (excl MENA),2005-07-06,Multiparty signed/agreed,Intra,SubComp,3,0,1,1,1
Sudan,Government/territory,Africa (excl MENA),2011-05-31,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Sudan,Government/territory,Africa (excl MENA),2002-04-02,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
Sudan,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Sudan,Government/territory,Africa (excl MENA),2006-06-19,Multiparty signed/agreed,Intra,SubComp,1,0,0,1,0
Sudan,Government/territory,Africa (excl MENA),2004-11-09,Multiparty signed/agreed,Intra,Imp,1,1,0,0,0
Sudan,Government/territory,Africa (excl MENA),2004-05-28,Multiparty signed/agreed,Intra,Cea,1,0,1,0,0
Sudan,Government/territory,Africa (excl MENA),2006-05-05,Multiparty signed/agreed,Intra,SubComp,3,0,1,1,1
Sudan,Territory,Africa (excl MENA),2012-09-27,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
Sudan,Government/territory,Africa (excl MENA),2012-09-27,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,0
Sudan,Government/territory,Africa (excl MENA),2012-09-27,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
