Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Croatia,Government/territory,Europe and Eurasia,1997-10-03,Unilateral document,InterIntra,Imp,1,0,0,1,0
Croatia,Government/territory,Europe and Eurasia,1991-07-07,Multiparty signed/agreed,InterIntra,Pre,1,0,1,1,0
Democratic Republic of Congo,Government,Africa (excl MENA),2013-12-12,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2006-11-18,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2003-04-01,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Democratic Republic of Congo,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2006-11-29,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Democratic Republic of Congo,Government,Africa (excl MENA),2003-03-06,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,1
Democratic Republic of Congo,Government,Africa (excl MENA),2001-08-24,Multiparty signed/agreed,Intra,Pre,2,1,1,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Democratic Republic of Congo,Government,Africa (excl MENA),1999-07-10,Multiparty signed/agreed,Intra,Cea,2,1,1,1,0
Democratic Republic of Congo,Government,Africa (excl MENA),2007-11-09,Multiparty signed/agreed,InterIntra,SubComp,2,1,0,0,0
Democratic Republic of Congo,Government,Africa (excl MENA),2003-04-02,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Djibouti,Government/territory,Africa (excl MENA),2001-05-12,Multiparty signed/agreed,Intra,SubComp,1,0,0,1,0
East Timor,Government/territory,Cross-regional,1999-05-05,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
East Timor,Government/territory,Asia and Pacific,1999-06-11,Unilateral document,InterIntra,Imp,1,0,0,0,1
East Timor,Inter-group,Asia and Pacific,1999-04-21,Multiparty signed/agreed,Intra,Cea,1,0,0,1,0
Ecuador,Territory,Americas,1998-10-26,Multiparty signed/agreed,Inter,SubComp,1,0,0,1,1
Ecuador,Territory,Americas,1998-10-26,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
El Salvador,Government,Americas,1993-02-05,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
El Salvador,Government,Americas,1990-07-26,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
El Salvador,Government,Americas,1991-04-27,Multiparty signed/agreed,Intra,SubPar,1,1,0,1,0
El Salvador,Government,Americas,1994-05-19,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
El Salvador,Government,Americas,1993-09-08,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
El Salvador,Government,Americas,1992-01-16,Multiparty signed/agreed,Intra,SubComp,3,1,1,0,0
Eritrea,Territory,Africa (excl MENA),1999-08-31,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Eritrea,Territory,Africa (excl MENA),2000-12-12,Multiparty signed/agreed,Inter,SubPar,1,0,1,0,0
Eritrea,Territory,Africa (excl MENA),2000-06-18,Multiparty signed/agreed,Inter,Cea,1,0,0,0,1
Ethiopia,Territory,Africa (excl MENA),1999-08-31,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Ethiopia,Territory,Africa (excl MENA),2000-12-12,Multiparty signed/agreed,Inter,SubPar,1,0,1,0,0
Ethiopia,Territory,Africa (excl MENA),2000-06-18,Multiparty signed/agreed,Inter,Cea,1,0,0,0,1
Georgia,Government/territory,Europe and Eurasia,1997-09-26,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Georgia,Government/territory,Europe and Eurasia,1992-09-03,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Georgia,Government/territory,Europe and Eurasia,2002-10-29,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Guatemala,Government,Americas,1996-09-19,Multiparty signed/agreed,Intra,SubPar,3,1,1,1,1
Guatemala,Government,Americas,1996-12-29,Multiparty signed/agreed,Intra,Imp,3,0,1,1,1
India,Government/territory,Asia and Pacific,2003-02-10,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,1
India,Government/territory,Asia and Pacific,1993-02-20,Multiparty signed/agreed,Intra,Imp,1,0,1,0,1
India,Government/territory,Asia and Pacific,2011-07-18,Multiparty signed/agreed,Intra,SubComp,1,0,0,0,1
India,Government/territory,Asia and Pacific,2005-12-06,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
India,Government/territory,Asia and Pacific,1994-07-27,Multiparty signed/agreed,Intra,SubComp,1,0,0,0,1
India,Government/territory,Asia and Pacific,2002-09-23,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
India,Government/territory,Asia and Pacific,1995-04-01,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Indonesia,Government/territory,Cross-regional,1999-05-05,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
Indonesia,Government/territory,Asia and Pacific,2002-12-16,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Iraq,Government,Middle East and North Africa,2004-06-08,Unilateral document,InterIntra,SubPar,1,0,0,1,1
Iraq,Government,Middle East and North Africa,2005-10-15,Multiparty signed/agreed,Intra,SubComp,2,1,1,0,1
Iraq,Inter-group,Cross-regional,2008-11-17,Multiparty signed/agreed,Inter,Imp,1,1,0,0,1
Iraq,Government/territory,Cross-regional,2010-11-07,Multiparty signed/agreed,Intra,SubPar,2,0,1,0,1
Iraq,Government,Middle East and North Africa,2004-03-08,Multiparty signed/agreed,Intra,SubComp,2,0,0,1,0
Ireland,Government/territory,Europe and Eurasia,2015-11-17,Multiparty signed/agreed,Intra,Imp,1,0,1,1,0
Ireland,Government/territory,Europe and Eurasia,2003-04-01,Multiparty signed/agreed,InterIntra,Imp,2,0,0,1,1
Ireland,Government/territory,Europe and Eurasia,1999-03-08,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Ireland,Government/territory,Europe and Eurasia,1998-04-10,Multiparty signed/agreed,Intra,SubComp,3,0,0,1,1
Ireland,Government/territory,Europe and Eurasia,1995-02-22,Multiparty signed/agreed,InterIntra,Pre,3,0,0,1,0
Ireland,Government/territory,Europe and Eurasia,2006-01-26,Multiparty signed/agreed,InterIntra,Pre,1,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,3,0,1,1,1
Israel,Government/territory,Middle East and North Africa,1995-08-27,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,2,0,1,0,1
Israel,Government/territory,Middle East and North Africa,1994-04-29,Multiparty signed/agreed,Intra,Pre,2,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1997-01-17,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Israel,Government/territory,Middle East and North Africa,1993-09-13,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Israel,Territory,Middle East and North Africa,1994-10-26,Multiparty signed/agreed,InterIntra,SubComp,3,0,1,0,1
Israel,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,3,0,0,0,1
Israel,Territory,Middle East and North Africa,1996-02-13,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,0,1
Jordan,Territory,Middle East and North Africa,1994-10-26,Multiparty signed/agreed,InterIntra,SubComp,3,0,1,0,1
Jordan,Territory,Middle East and North Africa,1996-02-13,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,0,1
Kenya,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Kenya,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Kenya,Government,Africa (excl MENA),2008-02-01,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Kenya,Government,Africa (excl MENA),2008-02-04,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Kenya,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Kosovo,Government/territory,Europe and Eurasia,1999-06-10,Unilateral document,InterIntra,SubPar,1,0,0,0,1
Kosovo,Government/territory,Europe and Eurasia,1999-06-21,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Kosovo,Government/territory,Europe and Eurasia,1999-06-09,Unilateral document,InterIntra,Pre,1,0,0,0,1
Kosovo,Government/territory,Europe and Eurasia,1999-02-23,Agreement with subsequent status,Intra,SubComp,3,0,1,1,1
Kosovo,Government/territory,Europe and Eurasia,1998-04-29,Unilateral document,InterIntra,Pre,1,1,0,0,0
Lebanon,Government,Middle East and North Africa,2006-02-06,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Libya,Government,Middle East and North Africa,2018-11-13,Multiparty signed/agreed,InterIntra,Pre,1,0,1,0,0
Libya,Government,Middle East and North Africa,2015-12-17,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Libya,Inter-group,Middle East and North Africa,2011-08-03,Agreement with subsequent status,Intra,SubComp,1,0,1,0,0
Macedonia,Government,Europe and Eurasia,2001-08-13,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Mali,Inter-group,Africa (excl MENA),2019-08-01,Multiparty signed/agreed,IntraLocal,SubPar,1,1,0,0,0
Mali,Government,Africa (excl MENA),2015-06-20,Multiparty signed/agreed,Intra,SubComp,2,1,1,0,0
Mali,Government/territory,Africa (excl MENA),2015-06-05,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Mali,Inter-group,Africa (excl MENA),2014-08-27,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Mali,Government,Africa (excl MENA),2014-07-24,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Mali,Government/territory,Africa (excl MENA),2013-06-18,Multiparty signed/agreed,Intra,SubPar,1,1,0,1,1
Mali,Government/territory,Africa (excl MENA),2006-07-04,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Mali,Government/territory,Africa (excl MENA),1992-04-11,Multiparty signed/agreed,Intra,SubComp,1,0,0,0,1
Mali,Inter-group,Africa (excl MENA),2019-07-25,Multiparty signed/agreed,IntraLocal,SubPar,1,1,0,0,0
Mexico,Government/territory,Americas,1996-02-16,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Mexico,Government/territory,Americas,1996-02-16,Multiparty signed/agreed,Intra,SubPar,3,0,1,0,0
Moldova,Government/territory,Europe and Eurasia,1994-10-21,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,0
Moldova,Government/territory,Europe and Eurasia,1994-10-21,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,1
Mozambique,Government,Africa (excl MENA),2014-08-12,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Mozambique,Government,Africa (excl MENA),1992-10-04,Multiparty signed/agreed,Intra,SubComp,1,1,0,0,0
Mozambique,Government,Africa (excl MENA),1992-03-12,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Myanmar,Government/territory,Asia and Pacific,2012-10-28,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Myanmar,Government/territory,Asia and Pacific,2015-10-15,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Myanmar,Government/territory,Asia and Pacific,2015-10-15,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Myanmar,Government/territory,Asia and Pacific,2013-11-02,Multiparty signed/agreed,Intra,Cea,1,0,1,0,0
Nepal,Government,Asia and Pacific,2007-01-15,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Nepal,Government,Asia and Pacific,2005-11-22,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Nepal,Government,Asia and Pacific,2015-09-20,Multiparty signed/agreed,Intra,SubComp,3,0,1,1,1
Nepal,Government,Asia and Pacific,2006-12-08,Multiparty signed/agreed,Intra,Imp,1,1,0,0,0
Nepal,Government,Asia and Pacific,2006-11-21,Multiparty signed/agreed,Intra,SubComp,3,0,0,1,1
Nicaragua,Government,Americas,1992-10-02,Multiparty signed/agreed,Intra,Imp,1,0,0,1,0
Niger,Government/territory,Africa (excl MENA),1995-04-15,Multiparty signed/agreed,Intra,SubComp,1,0,0,0,1
Nigeria,Inter-group,Africa (excl MENA),2016-03-23,Multiparty signed/agreed,IntraLocal,SubComp,1,0,0,0,1
North Korea,Territory,Asia and Pacific,2007-10-04,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Pakistan,Government/territory,Cross-regional,2004-07-05,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,3,0,0,0,1
Palestine,Inter-group,Middle East and North Africa,2006-05-11,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,1
Palestine,Territory,Middle East and North Africa,1996-02-13,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1994-04-29,Multiparty signed/agreed,Intra,Pre,2,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1997-01-17,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1995-08-27,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,2,0,1,0,1
Palestine,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Palestine,Government/territory,Middle East and North Africa,1995-09-28,Multiparty signed/agreed,Intra,SubPar,3,0,1,1,1
Palestine,Territory,Middle East and North Africa,1994-10-26,Multiparty signed/agreed,InterIntra,SubComp,3,0,1,0,1
Palestine,Government/territory,Middle East and North Africa,1993-09-13,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Papua New Guinea,Government/territory,Asia and Pacific,2001-08-30,Multiparty signed/agreed,Intra,SubComp,1,0,0,1,0
Peru,Territory,Americas,1998-10-26,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Peru,Territory,Americas,1998-10-26,Multiparty signed/agreed,Inter,SubComp,1,0,0,1,1
Philippines,Government,Asia and Pacific,1998-03-16,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
Philippines,Government,Asia and Pacific,2002-10-14,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
Philippines,Government,Asia and Pacific,1995-10-13,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Philippines,Government/territory,Asia and Pacific,1996-09-02,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Philippines,Government/territory,Asia and Pacific,2000-03-09,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Philippines,Government/territory,Asia and Pacific,2001-06-22,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Philippines,Government/territory,Asia and Pacific,2002-05-07,Multiparty signed/agreed,Intra,Imp,1,0,1,0,1
Philippines,Government/territory,Asia and Pacific,2004-12-21,Multiparty signed/agreed,Intra,Ren,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2008-08-05,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,1
Philippines,Government/territory,Asia and Pacific,2009-07-29,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Philippines,Government/territory,Asia and Pacific,2009-10-27,Multiparty signed/agreed,Intra,SubPar,2,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2009-12-09,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2009-12-09,Multiparty signed/agreed,Intra,Ren,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2009-12-09,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Philippines,Government,Asia and Pacific,1998-03-16,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Philippines,Government/territory,Asia and Pacific,2010-04-21,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2010-05-05,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2010-06-03,Multiparty signed/agreed,Intra,Pre,1,0,0,1,0
Philippines,Government/territory,Asia and Pacific,2011-02-10,Multiparty signed/agreed,Intra,Ren,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2012-02-15,Multiparty signed/agreed,Intra,Ren,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2012-04-24,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Philippines,Government/territory,Asia and Pacific,2012-10-15,Multiparty signed/agreed,Intra,SubPar,1,0,1,1,0
Philippines,Government/territory,Asia and Pacific,2013-04-11,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Philippines,Government/territory,Asia and Pacific,2013-04-22,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Philippines,Government,Asia and Pacific,2004-04-03,Multiparty signed/agreed,Intra,Imp,1,0,0,1,0
Philippines,Government/territory,Asia and Pacific,2014-01-25,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Philippines,Government/territory,Asia and Pacific,2017-12-14,Multiparty signed/agreed,Intra,Ren,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2017-12-14,Multiparty signed/agreed,Intra,Ren,2,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2017-12-14,Multiparty signed/agreed,Intra,Imp,2,1,0,0,0
Philippines,Government,Asia and Pacific,1998-03-16,Multiparty signed/agreed,Intra,SubPar,3,1,1,1,1
Philippines,Government/territory,Asia and Pacific,2010-05-05,Multiparty signed/agreed,Intra,Imp,1,1,0,0,0
Philippines,Government/territory,Asia and Pacific,2014-01-25,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Philippines,Government,Asia and Pacific,2018-06-08,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Portugal,Government/territory,Cross-regional,1999-05-05,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
Russia,Government/territory,Europe and Eurasia,1994-10-21,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,0
Russia,Territory,Cross-regional,1996-04-25,Multiparty signed/agreed,Inter,Imp,1,0,0,0,1
Russia,Government/territory,Europe and Eurasia,2002-10-29,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Russia,Government/territory,Europe and Eurasia,1992-09-03,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Russia,Government/territory,Europe and Eurasia,1996-10-10,Unilateral document,Intra,Imp,1,0,1,0,0
Russia,Government/territory,Europe and Eurasia,1996-05-31,Status unclear,Intra,Pre,2,0,1,1,1
Russia,Government/territory,Cross-regional,2020-03-05,Multiparty signed/agreed,InterIntra,Cea,1,1,0,0,0
Russia,Territory,Cross-regional,2001-07-16,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Russia,Government/territory,Europe and Eurasia,1997-09-26,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Russia,Government/territory,Europe and Eurasia,1994-10-21,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,1
Rwanda,Territory,Africa (excl MENA),2001-11-06,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Rwanda,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Rwanda,Government,Africa (excl MENA),2007-11-09,Multiparty signed/agreed,InterIntra,SubComp,2,1,0,0,0
Rwanda,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Rwanda,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Rwanda,Government,Africa (excl MENA),1993-06-09,Multiparty signed/agreed,Intra,SubPar,1,1,0,0,1
Serbia,Government/territory,Europe and Eurasia,1998-04-29,Unilateral document,InterIntra,Pre,1,1,0,0,0
Serbia,Government/territory,Europe and Eurasia,1999-02-23,Agreement with subsequent status,Intra,SubComp,3,0,1,1,1
Serbia,Government/territory,Europe and Eurasia,1999-06-09,Unilateral document,InterIntra,Pre,1,0,0,0,1
Serbia,Government/territory,Europe and Eurasia,2001-03-12,Unilateral document,Intra,Cea,1,0,1,0,0
Serbia,Government/territory,Europe and Eurasia,1999-06-10,Unilateral document,InterIntra,SubPar,1,0,0,0,1
Serbia,Government/territory,Europe and Eurasia,1999-06-21,Multiparty signed/agreed,Intra,Imp,1,0,0,0,1
Sierra Leone,Government,Africa (excl MENA),1996-11-30,Multiparty signed/agreed,Intra,SubComp,1,0,0,1,1
